n_mut,mut_type,seed,genotypes_nnz,brick_graph_nnz,linarg_nnz,linarg_ratio,brick_graph_ratio
100,back,80,19135686,2090459,296727,64.4891971408062,9.153820285401435
100,back,81,21808709,2381072,298607,73.0348216887079,9.159197621911476
100,back,82,22039405,2331706,303628,72.5868661651758,9.452051416430717
100,back,83,19380487,2147375,297284,65.1918266707929,9.025199138483032
100,back,84,19634350,2116540,295760,66.3860900730322,9.276626002815917
100,back,85,19781097,2275471,288688,68.52067630105859,8.693187915820506
100,back,86,22251655,2427421,302984,73.44168338922188,9.166788538123383
100,back,87,20258847,2359740,299607,67.61806967126937,8.585203030842381
100,back,88,21361619,2209765,304615,70.12661556390854,9.666918880514444
100,back,89,19982540,2197472,302843,65.98316619502515,9.09342189570561
100,back,90,18446488,2271845,288490,63.94151617040452,8.119606751340871
100,back,91,21256542,2454408,294484,72.18233248665463,8.66055765789551
100,back,92,21166551,2288831,301653,70.16854133723186,9.247756168978837
100,back,93,21403271,2247020,297085,72.04426679233217,9.5251804612331
100,back,94,20305257,2256172,290111,69.991337798291,8.999871020471844
100,back,95,22365602,2392432,301285,74.23403753920707,9.348479706006273
100,back,96,19993759,2178354,295439,67.67474504043136,9.178379179876181
100,back,97,20433641,2210475,294895,69.29124264568745,9.244004569153688
100,back,98,19623379,2328769,294512,66.63015089368176,8.426503015112276
100,back,99,20689849,2331064,305387,67.74960623733165,8.87571040520552
100,back,100,20508728,2231780,297603,68.9130418712177,9.189403973509934
500,back,1,19622190,2249842,293569,66.84012957771426,8.72158578246828
500,back,2,20143962,2274572,295492,68.1709217170008,8.856154916177637
500,back,3,20146557,2322085,296314,67.99056743859555,8.676063537725794
500,back,4,21509422,2359708,296148,72.63065089077084,9.115289688385174
500,back,5,20986342,2361044,294500,71.26092359932089,8.88858572733079
500,back,6,22226147,2280123,304946,72.8855174358739,9.74778422041267
500,back,7,21099617,2244592,298192,70.75849452701615,9.400201462002894
500,back,8,20525183,2119901,308289,66.57773387957404,9.68214223211367
500,back,9,19628450,2370981,287394,68.2980507595844,8.278619693704842
500,back,10,19758006,2270570,295792,66.79695867366257,8.701782371827338
500,back,11,21523907,2419468,297966,72.23611754361235,8.89613212491341
500,back,12,20424008,2275530,302850,67.43935281492487,8.975494939640436
500,back,13,21200767,2282333,309495,68.50116156965379,9.289077010234703
500,back,14,20444450,2358224,299480,68.26649525844797,8.66942665327806
500,back,15,21189175,2478714,299741,70.69161375987936,8.548454964953601
500,back,16,21124237,2344240,297881,70.91501975621138,9.011123861038119
500,back,17,21651792,2303062,310591,69.71158855214736,9.401306608332733
500,back,18,22212957,2536277,303221,73.25665768531863,8.758095823129729
500,back,19,21102545,2475905,294410,71.67740565877517,8.523164257110027
500,back,20,20406121,2369133,291361,70.03724245866812,8.613328588981707
500,back,21,19645558,2204703,293811,66.86461024263897,8.91075033689345
500,back,22,21985972,2386575,294262,74.71563436665285,9.21235326775819
500,back,23,22353059,2336508,310892,71.89975618542773,9.566866023998205
500,back,24,21032693,2171621,294991,71.29943964392135,9.685250326829589
500,back,25,22744882,2534162,307386,73.99452805267644,8.975307024570647
500,back,26,21936459,2406925,303675,72.2366312669795,9.113893868732927
500,back,27,20644704,2286463,302211,68.31221894636529,9.02910040529849
500,back,28,20804089,2255999,299659,69.4258774139939,9.221674743650153
500,back,29,20531427,2282500,297871,68.92724367259653,8.99514874041621
500,back,30,20250837,2176447,299644,67.58298847966253,9.304539462711475
500,back,31,20019408,2120839,291985,68.56313851738959,9.43938130145664
500,back,32,20365382,2331878,295286,68.96832900984131,8.733468045926932
500,back,33,19796072,2023829,303226,65.28487662667449,9.781494385148152
500,back,34,19772631,2249532,294569,67.12393700627018,8.789664250164034
500,back,35,20138193,2246944,298569,67.44904193000613,8.962481040916018
500,back,36,20380569,2227460,297310,68.5498940499815,9.14969023012759
500,back,37,20597766,2107167,304089,67.73597861152491,9.775098983611645
500,back,38,19375952,2092013,294506,65.7913658804914,9.261869787616043
500,back,39,21870394,2400908,293851,74.42681495043406,9.109217845914962
500,back,40,21942934,2215642,307115,71.44859091871123,9.903645986129527
500,back,41,20633187,2447285,293192,70.37431785314743,8.43105196166364
500,back,42,19601204,2272198,293396,66.80801374251864,8.626538708334397
500,back,43,20708449,2360732,295019,70.19361125893586,8.772045704467937
500,back,44,19843433,2323947,294863,67.2971278186819,8.538677086869882
500,back,45,21501766,2421674,299717,71.7402282820127,8.87888543214322
500,back,46,20303959,2120256,299342,67.82863413754167,9.576182781701831
500,back,47,18231344,2083020,290451,62.769086696206934,8.752361475165864
500,back,48,20697231,2257767,297693,69.52542048351826,9.167124419836059
500,back,49,21710786,2303591,302001,71.8897818219145,9.424757259426695
500,back,50,20985283,2065691,308924,67.93024497934768,10.158965208252347
500,back,51,20585004,2230684,295868,69.57495910338395,9.228112991351532
500,back,52,20728896,2364722,299499,69.21190387947873,8.76589129715882
500,back,53,19892851,2276238,300326,66.23752522259144,8.739354584186716
500,back,54,20738932,2367735,292420,70.92172901990288,8.758975138687395
500,back,55,22284754,2380544,309868,71.916925916842,9.361202313420797
500,back,56,19262458,2156810,294030,65.51187974016257,8.93099438522633
500,back,57,19382766,2159790,296430,65.38732921769052,8.974375286486186
